Title,Description,Assignee,Estimate,Labels,Priority,Status
A1 Service chassis,"Repo with bun and Mastra, a bun Dockerfile, fly.toml with a volume and min_machines_running at 1, healthcheck. Seeded from the sergio-mastra precedent, which is already single tenant with one webhook channel and LibSQL on a volume.

Done when:
- fly deploy finishes and GET /health returns 200
- bun test and bun run typecheck run and pass with zero tests
- The volume keeps a file across two consecutive deploys

Blocked by: nothing
Blocks: A4, D4
Window: Fri 21:00 to Fri 23:00",Fede,2,"lane-a,critical-chain",1,Todo
B3 Seed the business cards family,"Load cards into families and items. The family declares key, name, unit, module size, and the ordered list of attributes a quote needs before it can resolve.

Done when:
- Card rows are in items with their unit and tier
- The seed is idempotent: running it twice does not duplicate rows
- The required attributes for cards are declared and ordered

Blocked by: nothing
Blocks: B8
Window: Fri 21:00 to Fri 22:30",Juan Bautista,1.5,lane-b,2,Todo
C2 Transcription behind a seam,"A transcription port with one implementation. Swapping providers touches one file. Provider cost and runway alerts come later, today just the seam.

Done when:
- A test audio transcribes and the text is stored next to the media
- Swapping providers touches a single file
- A failing audio records the reason and writes nothing else

Blocked by: nothing
Blocks: C4
Window: Fri 21:00 to Fri 23:00",Pato,2,lane-c,2,Todo
D7 One page threat model,"Who attacks, what they gain, and what stops them. Known actors: a customer chasing a price that does not exist, someone impersonating an admin, someone who planted text in an email to the shop ten years ago.

Done when:
- One page, no more
- Every threat names the ticket that mitigates it
- Unmitigated threats are listed as accepted risk, not omitted

Blocked by: nothing
Blocks: nobody
Window: Fri 21:00 to Fri 22:00",Talisman,1,lane-d,2,Todo
A2 Domain contracts,"src/domain/types.ts with Intent, Resolution, PriceEdit, Unit, OrderState and EscalationReason. Every enum is an as const array that generates both the union type and the SQLite CHECK from one source. Critical path: blocks lanes B, C and D.

Done when:
- All four lanes import from this file and compile
- A helper generates the SQLite CHECK from the as const array, with a test
- Zero client constants in the file
- Delivered before H+2

Blocked by: nothing
Blocks: A3, A5, B4, D1
Window: Fri 23:00 to Sat 00:00",Fede,1,"lane-a,critical-chain",1,Todo
D4 Secrets and gitleaks,"Every secret in fly secrets. gitleaks on pre-commit and in CI. No .env in git. The Mercado Pago alias is a secret too when it arrives.

Done when:
- The hook stops a commit carrying a key
- gitleaks runs in CI and fails the build
- .env and .env.* are in .gitignore
- The repo history is scanned once and comes back clean

Blocked by: A1
Blocks: nobody
Window: Fri 23:00 to Sat 00:00",Talisman,1,lane-d,2,Todo
A3 Schema and storage seam,"Idempotent inline DDL over LibSQL for families, items, facts, orders, price_edits and price_versions. Litestream replicating to a bucket from the first deploy, not when there is data worth losing.

Done when:
- The DDL runs twice in a row without error
- items has a unique constraint over family plus attribute bag plus tier
- unit exists on families as a default and on items as an override
- Litestream replicates and a test restore brings the database back

Blocked by: A2
Blocks: A7, B7, D2
Window: Sat 08:00 to Sat 09:30",Fede,1.5,"lane-a,critical-chain",1,Todo
"B4 priceFor, a pure function","Resolution without a model. Exact match or escalate: zero rows, more than one, or a missing attribute we already asked for returns escalate. No interpolation, no nearest neighbor, no roughly.

Done when:
- It is a pure function with no network and no clock access
- Each of the three escalation cases has its own test
- It returns the itemId the amount came from and an explanation a human can read
- The square meter versus linear meter rule is covered

Blocked by: A2
Blocks: A5, B5, B6, D5, E1
Window: Sat 08:00 to Sat 10:00",Juan Bautista,2,lane-b,2,Todo
D1 Deterministic fencing of untrusted text,"Copied file by file from the Pretor precedent. Every outside text enters fenced and is never an instruction: customer messages, transcripts, facts, and later the email archive.

Done when:
- A message containing the fence delimiters does not break the fence, with a test
- The fence is deterministic: same input, same output
- No path through the turn passes outside text unfenced, verified by a test that walks the call sites

Blocked by: A2
Blocks: A5, B7, E1
Window: Sat 08:00 to Sat 09:30",Talisman,1.5,lane-d,2,Todo
A4 Telegram bot with two roles,"One bot, two roles. The admin role is for the four of us and the customer role simulates the prospect. Update dedupe copied from the precedent.

Done when:
- A repeated Telegram update does not fire two replies
- The role comes from the sender, not from a command the user picks
- An incoming message is recorded with its conversation id

Blocked by: A1
Blocks: C4
Window: Sat 09:30 to Sat 11:30",Fede,2,"lane-a,critical-chain",1,Todo
